id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
ul,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Medien,Deutschland
500,Folge 500,NA,NA,NA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Experte,Deutschland
lm,Ljudmyla Melnyk,NA,Experte,Ukraine
kd,Kristina Dunz,NA,Medien,Deutschland
el,Eglis Levits,NA,Politik,Lettland
501,Folge 501,NA,NA,NA
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,NA,Politik,Deutschland
am,Andrij Melnyk,NA,NA,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Experte,Deutschland
502,Folge 502,NA,NA,NA
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,NA,Experte,Deutschland
kp,Katja Petrowskaja,NA,Medien,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,NA,NA,NA
SPD,SPD,SPD,NA,NA
CDU,CDU,CDU,NA,NA
Grüne,Grüne,Grüne,NA,NA
Linke,Linke,Linke,NA,NA
